path,year-month,date,article idx,article title,paragraph,2500bott,singlebott,bott list,stage,scarcity,nonuniform progress,performance constraints,user heterogeneity,cognitive,external,internal,coordination,transactional,technical,demand,2500partner,singlepartner,content production,data center/storage,internet infra,content distribution,"browsers, apps & smart devices",advertising,end users,external partners,substitutional partners
./htmls/Factiva-20240114-0330.html,2007 January,2007-01-30,1,Dish Targets Mediacom Subs,"Dish Network, like DirecTV, is now targeting Mediacom Communications customers who lost Sinclair Broadcast Group TV stations as the result of an ongoing retransmission-consent dispute       http://www.multichannel.com/article/CA6407650.html     .      ",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
./htmls/Factiva-20240114-0330.html,2007 January,2007-01-29,17,Stations a Basic Backbone,"By ACA's own admission, “An essential component of cable service is the retransmission of broadcast television station signals. Retransmission brings networks such as ABC, CBS, Fox and NBC to small-town and rural viewers; it also delivers local programming (such as newscasts) created at the station.” Those words — printed on page one of a January 2006 ACA study on retransmission consent — demonstrate convincingly the value of broadcast signals.      ",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
./htmls/Factiva-20240114-0330.html,2007 January,2007-01-29,23,Through the Wire,"Host of that part? Maria Bartiromo, well-known anchor and signature financial reporter for business-news channel CNBC.      ",1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
./htmls/Factiva-20240114-0330.html,2007 January,2007-01-29,27,Standing Out In the Kid Crowd; Networks Carve Out Niches To Draw Younger Demos,"Although kids networks are steadily adding Spanish-language fare, some operators want more. “In our Spanish package, we have four kids channels,” said Tricia Lynch, director of FiOS TV programming at Verizon Communications. “I’d like to see more, especially in VOD. We’d definitely look at anyone who has new Spanish-language kids programming.”      ",1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
./htmls/Factiva-20240114-0330.html,2007 January,2007-01-29,31,"Oxygen Sets High Ad Goals; At Upfront, Net Urges Buyers to 'Double Down’          ","As for programming, the network, in addition to emphasizing returning  series Campus Ladies , The Janice Dickinson Modeling Agency and The Bad Girls Club , noted that a pair of specials, Mo’Nique’s F.A.T. Chance and Fight Girls , will transition to  series form this summer.      ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
./htmls/Factiva-20240114-0330.html,2007 January,2007-01-29,33,Quick Hits: SCTE Notebook,"The company said this should help cable operators expand narrowcast services, such as  video - on - demand and switched digital  video .      ",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
./htmls/Factiva-20240114-0330.html,2007 January,2007-01-29,37,All MTV Platforms Will Be Spankin’,"MTV2 will air previews of new videos by The Game, Timbaland featuring Nelly Furtado and Justin Timberlake, Lloyd, Rich Boy featuring The Game and Andre 3000 and Three 6 Mafia.    ",1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
./htmls/Factiva-20240114-0330.html,2007 January,2007-01-29,44,2007 Women to Watch,"ON THE HORIZON : “One of the key things is helping to manage the evolving and highly fluid area of digital- media distribution. … Another key issue is our ability to continue to renew, extend and enter into new rights relationships with professional and collegiate conferences and teams as the market continues to grow more complex and competitive.”    ",1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0
./htmls/Factiva-20240114-0330.html,2007 January,2007-01-29,44,2007 Women to Watch,"ON THE HORIZON : “As we progress to tracking advertising within on-demand  content (currently in beta trial), we are looking forward to more automated processes to provide us with ad location and campaign information, as well as time stamps in the on-demand streams that will allow us to provide more granular information to our clients at the ad level. On demand dynamic ad insertion will help us get there.”    ",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
./htmls/Factiva-20240114-0330.html,2007 January,2007-01-29,48,Serious Business: Comedy's Ganeless Builds The Brand,"Three tours of duty,” marveled Ganeless. “I can’t believe South Park and The Daily Show are in their tenth seasons.” She said one of the most dramatic changes has been the shift from traditional television to multimedia.    ",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
./htmls/Factiva-20240114-0330.html,2007 January,2007-01-29,51,Hot Seat Awaits Martin; Democrats Likely to Scrutinize FCC Chairman’s Decision,"The FCC today regulates indecent  content on radio and broadcast TV, but not on cable or satellite TV. It does not regulate violent programming.",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
./htmls/Factiva-20240114-0330.html,2007 January,2007-01-29,57,Verizon Is Cause for Deregulation,The Federal Communications Commission last Wednesday released a batch of orders that removed local price controls on basic-cable service — including two cases that involved Cablevision Systems in communities where Verizon Communications is deploying its FiOS TV all-fiber 180-channel  video system.,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
./htmls/Factiva-20240114-0330.html,2007 January,2007-01-29,60,Kids Prove To Be Demanding;    Video On Demand  Has Become A Powerful Tool for Programmers,"The number of  video - on - demand capable U.S. homes grew to nearly 26.2 million — 86% of the country's homes with digital cable — in the first half of 2006, according to Kagan Research. And as VOD numbers continue to grow, kids and family programmers are looking for ways to leverage the platform.    ",1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
./htmls/Factiva-20240114-0330.html,2007 January,2007-01-29,64,Showtime Updates Smithsonian VOD Fare,"Other productions include Stories from the Vaults, The Hunt for the Double Eagle, American Treasures, Nature Tech, Cutting Loose and kids-targeted Critter Quest.    ",1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
./htmls/Factiva-20240114-0330.html,2007 January,2007-01-25,78,EastEnders Reprieved Anew,"But local fans, including British expatriates, raised about $52,000 amongst themselves -- enough to pay the license fee for two years. So it’s staying on the air for at least that long, WETA vice president of external affairs Mary Stewart said, confirming a Washington Post report. “This was a unique situation,” she added.    ",1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0
./htmls/Factiva-20240114-0330.html,2007 January,2007-01-24,92,West Is North for AMC,AMCwent Western last weekend and turned north in the ratings.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
./htmls/Factiva-20240114-0329 (1).html,2007 January,2007-01-31,65,"Lakers, Dodgers Go HD on Time Warner        ","KCAL 9 HD will also deliver all of its 2007 Los Angeles Dodgers Major League Baseball game broadcasts in HD beginning Friday, March 30, with the Dodgers' Freeway  Series exhibition game against the Los Angeles Angels of Anaheim.    ",1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0
./htmls/Factiva-20240114-0329 (1).html,2007 January,2007-01-30,86,"NBC U, UFC Offer Fearless Sweepstakes        ","Other upcoming VOD and PPV titles include  film noir Black Dahlia (Feb. 8), starring Josh Hartnett, Hilary Swank and Scarlett Johansson; and the next installment of the American Pie franchise, American Pie Presents: The Naked Mile (Feb. 17).    ",1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
./htmls/Factiva-20240114-0331.html,2007 January,2007-01-08,3,"Broadband    Video  Girds for Growth; From    Content  Delivery to Syndication, Market’s Hot for Internet TV Services        ","CDN operators like Limelight are part of a group of companies delivering broadband  video services, ranging from delivery and syndication to workflow and management tools for publishing  content . And on the flip side, at least two new ventures are looking to curtail unfettered Internet  video with services that scan for copyright violations (see sidebar, page 22).  ",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0
./htmls/Factiva-20240114-0331.html,2007 January,2007-01-08,3,"Broadband    Video  Girds for Growth; From    Content  Delivery to Syndication, Market’s Hot for Internet TV Services        ","Adam Berrey, Brightcove vice president of marketing and strategy, said its biggest competition comes from producers’ in-house projects to integrate different  content management and acquisition, programming and ad-buying systems.  ",1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0
./htmls/Factiva-20240114-0331.html,2007 January,2007-01-08,7,Verizon Wireless  TV Going Live,"The live-TV service, provided through Qualcomm's MediaFLO USA subsidiary, initially will have fewer than a dozen channels. Those will include two from NBC Universal — one for news and one for entertainment — and at least two other broadcast networks. Until now,  Verizon Wireless 's V Cast  video service has consisted of on-demand clips from partners ranging from ESPN to  Comedy Central .    ",1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
./htmls/Factiva-20240114-0331.html,2007 January,2007-01-08,12,CNN Forms Investigations Unit,"Later this month, CNN will debut a long-form investigative  series that will run each Saturday and Sunday.    ",1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
./htmls/Factiva-20240114-0331.html,2007 January,2007-01-08,15,Iger Unveils Digital Doorway’ to    Disney Content,"A “ Disney for You” feature allows visitors to enter areas that reorganize material based on age or gender. The areas serve preschoolers, boys, girls, kids and teens, families and, broadly, a category called “ Disney Fans.”      ",1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
./htmls/Factiva-20240114-0331.html,2007 January,2007-01-08,51,Volume Control; Voices From Everywhere On Internet    Video,"As 2006 saw the maturing of the read-write Web (or Web 2.0), 2007 will see the rise of the third stage of the internet’s evolution: the Hear Me See Me Web. The rise of  video and audio on the Web has been phenomenal and we will see the average user’s behavior change over the next year as he/she moves from reading and writing text to consuming and generating moving image and sound.”      ",1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
./htmls/Factiva-20240114-0331.html,2007 January,2007-01-08,56,USA Psyched About Ratings Win;    Disney  Racks Up Stellar Year; No. 1 TNT Is Unseated,"USA's primetime ratings were up 10% last year, while  Disney Channel, which isn't ad-supported, registered a 16% gain.   ",1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0
./htmls/Factiva-20240114-0331.html,2007 January,2007-01-05,72,MTVN Ups Digital- Media  Drive,"We're all about connecting audiences with our  content -- and each other -- through immersive environments that span TV,  online and wireless,” Salmi said in a prepared statement. “With this team in place, we're poised to deepen our audience connections, reaching them wherever they are, whenever they want and on whatever screen they choose.”      ",1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
./htmls/Factiva-20240114-0330 (2).html,2007 January,2007-01-17,9,Web- Video  Provider Files Program-Access Complaint,"Although the Time Warner networks are covered by the program-access rules, it's unclear whether VDC meets the definition in federal law of a multichannel- video -programming distributor entitled to obtain relief from the FCC.      ",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
./htmls/Factiva-20240114-0330 (2).html,2007 January,2007-01-17,17,Start-Up Airline Offers Snazzy Seatback Entertainment,"Seat-to-seat chatting and on-screen food ordering are part of the new seat-back-entertainment amenities on startup airline Virgin America, along with on-demand pay-per-view  movies , digital-music channels and live TV.      ",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
./htmls/Factiva-20240114-0330 (2).html,2007 January,2007-01-16,50,Venice Project Renamed Joost,"Content partners include Warner Music Group; English-language Latino programmer VOY; Havoc Television, a producer of music and action-sports  content ; and Off the Fence, a Dutch company that produces  documentaries . For example, Paris Hilton -- the hotel heiress and aspiring pop artist who's signed with Warner Bros. Records -- has a channel on the beta version of Joost. ",1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
./htmls/Factiva-20240114-0330 (2).html,2007 January,2007-01-15,54,This Just In,"And in fact, at launch, Chiller’s programming slate will include the TV  series Twin Peaks , Alfred Hitchcock Presents and Tales from the Crypt . Feature films in rotation will include The Shining , Hitchcock’s Psycho , Blade Runner and The Unholy .      ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
./htmls/Factiva-20240114-0330 (2).html,2007 January,2007-01-15,55,CES Tech Gibberish Roundup,Stumped by gibberish? Visit Leslie Ellis at       www.translation-please.com     .,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
./htmls/Factiva-20240114-0330 (2).html,2007 January,2007-01-15,67,Moonves: CBS Will Play On a Digital    Media  Field,SLINGS AND TUBES,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
