scarcity,nonuniform_progress,performance_constraints,user_heterogeneity,cognitive,external,internal,coordination,technical,demand,paragraph,label,word_count,char_count,number_of_types
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,The Boston Celtics' Game 7 victory Saturday night over the Chicago Bulls dunked the highest ratings in the 28-year history of the regional sports network and its predecessor in New England.,1.0,31,189,1.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,"There is nothing like this  series on TV and we are thrilled to be in development with Ava, a trailblazer and unparalleled champion of diversity,” said Kathryn Busby, Starz president of original programming. “Lauren is a true inspiration and together with Joshua, a brilliant veteran actor, they will bring their incredible talents to this project -- both in front of and behind the camera. This  series exemplifies our #TakeTheLead mission, and we couldn’t be prouder.”",0.0,77,470,0.2
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,"GeoShapShot, of New South Wales, Australia, and Denver, is an artificial intelligence  media distribution platform that allows users to share photos and organize them. The company completed a technical proof of concept with Sports Engine that enabled parents and athletes to find and download videos and photos from sports events.",0.0,51,330,0.3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"15. The Brownfields Broadband Deployment Act ""would remove the requirement to prepare an environmental or historic preservation review for the deployment of a broadband project entirely within a brownfields site, which is previously disturbed land.""",0.0,35,249,0.1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,"Congress is getting creative with its dig once-inspired broadband buildout proposals, including partially funding middle mile buildouts along the electric grid to help bring broadband costs down.",0.0,27,195,0.2
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,"I think it's an opportunity, but it’s more of a gradual opportunity,” Leichtman said of the fiber build’s impact on  Netflix and other  SVOD providers. “Remember, they have to build these markets, and the building takes a while. And we’re talking about the 86th percentile. These are not the early adopters that we’re talking about.”",0.0,57,333,0.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Vessel, the  OTT service co-founded by former  Hulu CEO Jason Kilar, typically offers exclusives in a 72-hour window. Watchable's window will be “much, much longer than three days,” Parks said.",0.0,32,193,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,"For Xfinity on Campus, Comcast is connecting to university partner networks via its fiber-based, business-class Ethernet platform.",0.0,18,130,0.2
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,"Terry Hurlbutt leads the top-rated (total viewers) morning show’s rapid news and lifestyle-focused digital expansion, including  content creation, distribution, opening new revenue streams and identifying opportunities to expand audience reach. In 2018, she led the launch of Good Morning America’s new website, a newsletter and a robust, original slate of  video franchises and features. Prior to this role, Hurlbutt was responsible for audience development strategies across the  Disney /ABC Television Group brand portfolio, including ABC Entertainment, Freeform and  Disney Channel, and led ABC News’s first audience development team. Hurlbutt joined ABC News from  Google and YouTube, where she co-led North America partnerships for the launch of YouTube Kids.",0.0,113,720,0.3
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,Pearl TV was pitching a  NationalAssociation of Broadcasters petition to clarify the application of the FCC’s  ATSC 3.0 (NextGen TV)  rules to multicast streams . Those are the extra channels broadcasters got in the switch to digital.,0.0,40,234,0.2
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"For some reason, despite 20 years of planning, a lot of organizations don't seem to know this is happening,” he said. “Some network operators looked at IPv6 as a science project.… Hopefully, this little wakeup call will get their attention.”",0.0,40,241,0.1
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Broadcaster planning over-the-top distribution for sports programming,0.0,18,110,0.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"The  National Hockey League  and  theWalt Disney Company will drop the puck on the first season of its seven-year multiplatform television deal by distributing more 100 exclusive, live NHL regular season games, nearly three-quarters of which will be offered through digital services ESPN Plus and  Hulu .",0.0,51,304,0.1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,"WASHINGTON — The Obama administration is seeking public input on how to measure the success of voluntary programs like the “Six Strikes” alert system, a joint eff ort of Internet-service providers, music producers and recording studios, in reducing copyright infringement.",0.0,40,272,0.2
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,"The traditional focus on growth that MVPDs have maintained needs to shift to a focus on the customer. This is a critical time to keep and even gain market share as more choices continue to arise. MVPDs will succeed if they will track trends and offer the streamlined, user-friendly automated services that today’s customers are shopping for.",0.0,57,341,0.2
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"This year several major operators are ganging up to give interactive advertising a stronger push forward. Comcast, Time Warner Cable and four others are reportedly pouring upwards of $150 million into “Project Canoe.” The still-under-wraps initiative is supposed to unify technical standards and business processes, so that cable can sell interactive and targeted ads more easily — and on a much bigger scale.",0.0,63,409,0.2
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"In 2019, RIST (Reliable Internet Stream Transport) will Emerge  as a Powerful Alternative to SRT/ start before the video segment is fully encoded. CMAF files can also be encrypted. Created by the Video Services Forum (VSF), RIST is an interoperable (open) protocol for reliable streaming over the internet. RIST is a new open standard created by a consortium industry and multiple technology developers. Most significantly there is likely going to be support from the main standards creating bodies who initiated meetings via the Video Standards Forum (VSF)",0.0,88,557,0.2
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,"Programmers will have to start making those decisions soon. Although  streaming has obviously been a part of at least some sports rights deals -- and the major broadcasters have already locked up Major League Baseball, PGA Golf and SEC Football agreements recently -- there are still several left to negotiate. According to Nathanson, ESPN’s MLB rights deals come due in 2022, as does NBC’s Premier League pact. In 2023, several NFL rights deals expire: ESPN’s Monday Night Football, Fox’s Thursday Night Football and Sunday NFC packages, NBC’s Sunday Night Football and CBS’s Sunday AFC football package. Also that year, Fox and ABC/ESPN’s Big Ten college football packages are set to be renegotiated.",0.0,113,702,0.3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,"While the first iteration of that app targets the iPad, it’s expected that Cox will eventually launch versions for mobile platforms that already support Cox TV Connect, the MSO’s in-home live TV  streaming and remote DVR-management application.",0.0,38,244,0.2
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,"Peacock Tuesday also greenlit a new WWE-based  series hosted by Jon Cena. WWE Evil takes viewers into the minds of the most diabolical antagonists in WWE history, and their impact on mainstream culture, according to the  streaming service.",0.0,40,239,0.2
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"Chandra Wilson and Freddie Highmore came out next. Both playing doctors on TV (Wilson on Grey’s Anatomy, Highmore on The Good Doctor), they saluted medical professionals, then awarded best supporting actress in a limited  series . Jennifer Coolidge of The White Lotus won.",0.0,44,272,0.1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,"NASCAR thus joins the recent rush among pro sports circuit and rights-holders to showcase the 3D format. In April, ESPN, working in conjuction with Comcast  Media Center, which transmitted the action to other carriers  http://www.multichannel.com/article/451261-Bell_TV_Drives_3D_Masters_Coverage.php , showed select holes in the format from the The Masters, while regional sports network MSG showcased a National Hockey League game between the New York Rangers and New York Islanders in the format  http://www.multichannel.com/article/450417-MSG_To_Drop_Puck_On_First_3D_Hockey_Telecast.phpon March 24. CBS presented the crowning events of ""March Madness,  http://www.multichannel.com/article/449880-CBS_Sports_Jumps_Into_3D_With_Enhanced_Final_Four_Coverage.php?rssid=20076 "" The Final Four and the national championship game, in 3D through select theaters nationwide.",0.0,100,720,0.3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"Earlier this year, the NCTC announced a deal with Imagine Communications that lets midsized and small operators opt into AdKey, a cloud-based service that inserts ads into IP-based  video streams. That will let them tap into the fast-growing  OTT and connected TV space.",0.0,45,270,0.1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"DirecTV noted that during the early days of the COVID-19 pandemic, Mission and Nexstar were locked in a retransmission battle with Dish Network , but restored their signals to keep citizens informed about the health crisis.",0.0,36,223,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"2.What formats does the serviceprovider support? When it comes to providers, some support all of the formats, some support some of the formats, and some only one of the formats. Rarely does any one provider support streaming of content in Windows Media, Flash, QuickTime, and Real formats. While it may seem odd that they don’t support all of the formats, there may be a logical explanation. If a provider is only going after a specific vertical or industry, for instance the webcasting space, chances are they don’t yet support Flash Video, since the Flash Video platform is not yet used frequently for live streaming delivery. Or a provider may not support a particular format because the format provider will not allow them to unless they are certified and licensed to do so. Providers should be upfront and honest about what they support today and what they may support down the road. On Microsoft’s and Adobe’s websites, you can see who is certified to provide delivery services in both of their formats. ",1.0,118,720,0.1
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,"ESPN has turned over its whole website homepage in our markets, promoting us,” Gardner added. “Pac-12 Networks takes out billboards screaming that we're the exclusive place to find the USC-UCLA baseball game in HD. Right down the line, partly because we're new — and they love that we carry all of their channels in HD, that we have the best picture quality, that our guide seems to have licked and solved the problem of there's 500 channels and nothing on — and partly because we've asked nicely.”",0.0,87,498,0.3
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,"IN RECENT YEARS, PREMIUM MOVIE CHANNEL SHOWTIME — A PERENNIAL RUNNER-UP TO HBO — has reaped big critical and financial gains from its stable of strong original  series , featuring complex and dark characters. From a vigilante murderer (Dexter) to a pot-selling housewife (Weeds) to a pill-popping nurse (Nurse Jackie), Showtime’s characters have struck a chord with both viewers and TV critics.",0.0,63,394,0.2
0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,"The Roku Channel is thrilled to announce its expanded relationship with longtime partner AMC Networks,” Roku VP of programming Rob Holmes said. “Every day, audiences come to The Roku Channel for easy access to a wide range of entertainment options. We are constantly working to enhance our programming portfolio to meet the needs of our users. Through this multi-faceted expansion of our partnership, we are pleased to provide our audiences with even more top  content , plus exclusive programming, from AMC Networks, and look forward to connecting AMC Networks with viewers across The Roku Channel’s programming ecosystem.”",0.0,98,624,0.4
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,"Superman has remained one of the most iconic and beloved Super Heroes in the world,” said Amy Friedman, head of kids & family programming at Warner Bros. “This fresh take from the Warner Bros. Animation team delivers a modern, relatable Clark Kent alongside a fearless, whip smart Lois Lane who are navigating the small tasks of both becoming adults and trying to save the world.”",0.0,65,380,0.2
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"A Pai spokesperson had no comment on the suggestion of tone-deafness or that the FCC was off-base in saying that broadband was being deployed on a reasonable and timely basis. But, on the issue of mapping, the spokesperson pointed to Pai’s longstanding complaint about getting the funding to do the kind of broadband data collection Congress has mandated.",0.0,58,355,0.1
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"Launching broadcast-affiliated cable networks in lieu of cash for station carriage was the brainchild of John Malone at Tele-Communications Inc. The  National Cable & Telecommunications Association is paralyzed because operators and programmers are members. In 2005, the Federal Communications Commission concluded retrans works.    ",0.0,46,333,0.3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"The more subscribers a network has, the more revenue it generates from affiliate fees and advertisers, which means they can spend more on  series development, NBCU’s Baker said.",0.0,29,177,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"HBO programming group and West Coast Operations president Michael Lombardo said that all three  series will return next summer, The vampire-tinged True Blood is averaging more than 10 million cumulative viewers, while Hung, which follows a about a down-on-his-luck man who decides to use his best attributes and becomes a gigolo, is averaging more than 10 million cumulative viewers.",0.0,60,383,0.1
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,"But instead, the  video is part of a new skateboarding-oriented  video series dubbed Epicly Later’d , one of more than 50 original, episodic  series airing on  video broadband site VBS.TV — financed by MTV Networks.      ",0.0,42,221,0.2
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"Rose said CBS College Sports has also made certain Atlantic 10 Conference rights available to Verizon as part of its FiOS package, but the telco has not yet opted to exploit them. Verizon has already rolled out the channel in Richmond and Norfolk, Va., and Silver Springs, Md., and Philadelphia, among other markets. All FiOS markets are scheduled to be lit by year-end, said Rose.",0.0,65,381,0.1
