scarcity,nonuniform_progress,performance_constraints,user_heterogeneity,cognitive,external,internal,coordination,transactional,technical,demand,paragraph,label,bottid,word_count,number_of_types
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"But training takes months and even years to fully complete. And in the meantime, the shortage continues. In 2021, a group of industry associations warned that there could be a need for as many as 850,000 additional workers in the telecom business through 2025, as more and more fiber projects go  online .",0.0,0,54,0.2
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,"Regarding its original programming strategy, the  Netflix execs said that “was a strategic experiment,” adding that they are still uncertain about “when or whether we will take it beyond 5% of our large  content spend.” ■",0.5,0,38,0.3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"Finally, Totenberg spoke about the growing role females have played at NPR, and in the  media in general. She mentioned how she gets to “watch in awe as the newest generation of NPR women somehow manage to do everything — even reading to children on a cellphone during stakeouts.”",2.0,25,50,0.1
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,"While acknowledging some kinship to NFL RedZone and DirecTV's Red Zone ad hoc scoring channels, Petitti also said Strike Zone stemmed from wanting to do a standalone version of MLB Tonight when MLB Network was in game coverage.",1.0,0,38,0.2
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,"At a high level, Aereo is a technology company, not a  subscription -TV provider, Kanojia said. “We don’t sell programming,” he said. “We charge for access to our infrastructure. The beauty of the cloud implementation is that the cost of that infrastructure is low and continues to drop.”",1.0,14,49,0.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"Among the original shows the network will feature are Fast Food Mania, which stars Howard Stern Show regular Jon Hein as he travels the country profiling the best fast food joints. Overall, Etkind said, Destination America will launch more than 100 new shows by the end of the year.",1.0,16,49,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"I think the networks are struggling with the question as much as investors are and I hope they have their own research going on to try and understand that equation. There is definitely no consensus opinion from the networks’ point of view. It's a really important topic, and I will continue to scour the globe for data to bring to the conversation.",0.0,8,62,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"Fox News averaged 1.1 million on a total day basis to top all networks, followed by MSNBC (835,000), HGTV (640,000), CNN (610,000) and ESPN (550,000), The rest of the top 10 included TNT (518,000), Investigation  Discovery (466,000), INSP (436,000), Food Network (433,000) and Hallmark Channel (424,000).",1.0,21,47,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Viacom chief financial officer Wade Davis said the  media company “has been investing since 2015 in driving the industry forward around targeted advanced TV ad campaigns. And we think it's going to be not far off of [being a] $1 billion [business] by the end of this year before you start adding Pluto in.”,1.0,20,55,0.1
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,"Transparent has welcomed a new showrunner to the set, with Jill Gordon running season five. Soloway said Gordon brings increased focus to Transparent. “We throw a lot of scripts up in the air and see what happens when we get to the set,” she said. “Having that more boundaried storytelling will allow us to prepare more, and be a little less dependent on the magic . even though we love the magic.”",1.0,17,72,0.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"Hulu 's ownership is in flux at the moment, with  Disney set to pay $71 billion for a collection of Fox assets that include its 30% stake in  Hulu , giving the company majority control.  Disney is planning its own standalone  Disney -branded  OTT streaming service.",0.0,11,51,0.1
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"With TV manufacturers embracing built-in internet connectivity, we are bound to see a massive boom of consumption in the living room. Mobile technologies, albeit a political train wreck, are also showing exciting signs of promise and real growth. As for the monetization models that make all this possible, online video advertising has always been a moving target, but there’s no question how this will play out in 2009. Industry rates and delivery mechanics will be set by those companies that are making the deals. I don’t think we need a committee or an organization to “set the stage” in this arena; it’s happening already, and history is being written by the victors.",1.0,0,112,0.2
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"For capture, an AWS Elemental Live small form factor, single-channel video encoder ingested and processed content and sent it to cloud-based AWS Elemental MediaLive.The live curation tool from GrayMeta allowed Sky News editorial researchers to review the match made by the facial recognition service and override it if it was incorrect.",1.0,0,51,0.2
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"Also, much as you could shoot HD and deliver DV (as most of us did) at the very beginning of HD, you can shoot 4K and deliver HD. You can even crop, pan and scan, and zoom in post within the 4K footage and still deliver full HD. Then, in a few years, when 4K becomes more of an expectation, you will already have a catalog of 4K content.",0.0,0,69,0.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,"Among those bidding were AT&T, Verizon Communications and T-Mobile, but no big cable broadband names.  Cable broadband operators had warned that the way the auction was structured — specifically the license sizes — would discourage them from bidding.",0.0,0,39,0.2
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"For television broadcasters, 5G network slicing promises the same benefits of using dedicated fiber or a private IP network without the associated fixed costs and physical limitations. Because 5G network slices are mobile services, they will become as readily available and accessible as internet services but with greater reliability including service level agreements, lower latency, and more bandwidth.",1.0,0,58,0.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"Comcast and  Disney reached an agreement in 2019 that gave   Disney full operational control of  Hulu but allows Comcast to exit the partnership in 2024 after an independent fair market valuation with a minimum full equity value of $27.5 billion for the streamer. According to LightShed Partners principal and  media analyst Rich Greenfield,  Hulu could be worth as much as $45 billion, making Comcast’s interest worth $15 billion.",2.0,28,74,0.1
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,"Service rep No. 1 felt my pain but couldn’t authorize the fix I wanted: to replace an oft-repaired phone with some other, similar but different, phone. Rep No. 2, same thing. The loyalty card wasn’t the trump I thought it would be. Rep No. 2 pointed out that all carriers have similar warranty agreements with equipment makers, so if I switched I’d face the same dilemma. Logic was on rep No. 2’s side.",0.0,8,73,0.3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"Profitability is certainly decreasing for each team,” Lopez said. “But again, this doesn't mean that the contract rate and those fees under those contracts is not reasonable.""",1.0,16,27,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"several key trends are shaping the future of the livestreaming market. While the number of streaming distribution outlets, web viewers and video content itself are all going up, the cost to produce high-quality live streaming content is going down. Lessons learned from traditional TV broadcasting and post-production are helping us.",1.0,0,50,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"For instance, in 2007, the iPhone was introduced and revolutionized how and when Americans access the internet; today, 83% of Americans access the internet on mobile devices (over licensed Commercial Mobile Radio Services, or CMRS, networks and via extensive WiFi networks) and, as the nation transitions to next-generation 5G networks, the number of mobile internet users (and mobile-only internet users) will continue to increase. In 2007,  Netflix had just introduced its  streaming service after spending the first decade of its existence as a DVD and VHS rental company; today,  Netflix has over 57 million  streaming subscribers in the United States (more than twice as many subscribers as any other  video distributor) and a total of about 130 million subscribers around the world. In 2007,  Google was continuing to develop its digital advertising business, while Facebook was a bit player; today, the two companies together have a dominant share of sales in the digital advertising marketplace, and account for a huge majority of the growth of that market in 2017, with no other competitor cracking even 5%.",1.0,21,127,0.1
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"DVEO is a rapidly growing player in the video streaming industry. We provide one of the most unique streaming media product lines for Telco TV, IPTV, Cable TV, Mobile DTV, corporations, and schools.  •  Multichannel transcoder/streamer -- MPEG Gearbox II™: Transcodes up to 16 720p60 HD streams, or 10 1080i/p  HD streams, or 40 SD streams  •  4-60 stream transport stream analyzer -- Q Check IP™: Combines multi-window stream monitoring, comprehensive ETR 290 analysis, error logging, and alarms  • “DOZERBOX” technology:  Offers smooth delivery of video traffic over public Internet We also offer Ad Overlay, EAS, and Playout Servers.  ",0.0,0,108,0.3
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"That milestone, achieved in the first quarter of 2018, is a significant one for Roku’s long-term prospects and for a company that is most well-known for its wide range of internet-connected  streaming players and sticks.",1.0,15,36,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"Scenario 1.5 - You start a subscription pay-per-view live service, say for live music events. You monetize via advertising support for newer devices and browsers only, or using an Apple TV app. To support all the available endpoints, two DRMs are deployed; Widevine and FairPlay. As shown in Figure 7, a single CMAF set of files with HLS and DASH manifests and CBC encryption can support the required devices using FairPlay for HLS and Widevine for DASH.",1.0,0,77,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"How effective are ad blockers? I installed Adblock Plus on Firefox and competitor Adblock on Chrome and tested 10 popular U.S. sites, including YouTube, CNN, ESPN, CBS, and CNET, using Safari without an ad blocker for comparison. Safari played a preroll ad on all 10 sites. On Firefox, Adblock Plus removed those ads on nine of 10 sites, with CBS displaying a banner that said the video wouldn’t play because the ads were blocked. With Chrome, nine of 10 videos (including CBS) did play without a preroll ad. ESPN didn’t play the video, though no message was displayed. Clearly, at 90% effectiveness, ad blockers represent an existential threat to any advertising-supported site. ",1.0,0,113,0.1
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"Drones and POV Cameras In today’s diversified market, drones are available to just about anyone who can imagine using them for just about any task. Like it or not, we live in a “GoPro is good enough” society that coexists with the less populous world of professional filmmaking when it comes to aerial video. And using professional gear with drones creates additional challenges. Weight is Kryptonite for drones— with increased weight comes a degradation of performance in many areas of operation.",1.0,0,81,0.2
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"The FTC seems to think that is definitely in play now that the FCC has reclassified ISPs as common carriers. “[A] broad range of companies that do not provide traditional common-carrier service will now be able to claim common carrier status,” it told the court, adding: “[E] merging broadband providers such as  Google … may collect vast amounts of consumer data with the corresponding possibility of harming privacy interests.”",0.0,0,70,0.1
