label,performance_constraints,nonuniform_progress,number_of_types,paragraph,cognitive,user_heterogeneity,word_count,demand,source,coordination,internal,transactional,scarcity,technical,external
0.0,0.0,0.0,,"The Murphy Brown reboot on CBS reaches out to both ends of the political spectrum. The premiere saw Brown, who comes out of retirement to host a cable news show, spar with President Trump on Twitter. It also featured a cameo from Hillary Clinton, who interviews to be Brown's secretary. (“For four years I was the secretary of a very large organization,” said Clinton.):The Murphy Brown reboot on CBS reaches out to both ends of the political spectrum. The premiere saw Brown, who comes out of retirement to host a cable news show, spar with President Trump on Twitter. It also featured a cameo from Hillary Clinton, who interviews to be Brown's secretary. (“For four years I was the secretary of a very large organization,” said Clinton.)",0.0,0.0,127,1.0,,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.1,"Other interactive programs — like the network's music-countdown shows, in which viewers choose their favorite songs — help GAC continue to reach out to its viewers, Durant added.",1.0,1.0,28,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,0.0,0.0,,"For all of these companies in your Distributor of the Year, the revenue models for each of them aren't that inviting as standalone services,” Leichtman said. “But none of them are really standalone services. Whether it's Sling TV or DirecTV Now, PS Vue or YouTube or  Hulu , they are serving a strategic position for their [parent] companies, not as standalone businesses. None of them are reporting the individual economics for these services. They are all there for larger more strategic purposes.”",0.0,0.0,83,0.0,,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,,"THE WORLD OF VOD Online video viewing continues to grow, both in the average viewing hours, which is now at almost 6 hours per week according to Limelight’s 2017 State of Online Video report (go2sm.com/stateofov17), and in the number of OTT services worldwide, which is now in the thousands. The devices used for online viewing cover the spectrum from smartphones, tablets, smart TVs, and laptops to dedicated streaming devices. ",0.0,0.0,70,1.0,,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,,"You’re Only as Good as Your Quality Metric  At this point, another quote, often (incorrectly) attributed to Peter Drucker, comes to mind: “You can’t manage what you can’t measure.” As applied to this analysis, this means that if your VQM doesn’t measure it, you can’t use that metric to manage that parameter.",0.0,0.0,53,0.0,,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,,Comcast and the other major Internet-service providers are about to take a page from cellphone carriers and start providing regular alerts to customers who illegally access  content via peer-to-peer networks.,0.0,0.0,31,0.0,,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,1.0,,"Consumer content-generation blogs rose to prominence in 2005 but remained on the web, separate from mainstream media and viewed by traditional media outlets with significant skepticism. Then YouTube, MySpace, and Facebook exploded onto the scene, generating more content in several months than many mainstream media and entertainment outlets generate in an entire year.",1.0,0.0,53,0.0,,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,,"“Kayo provides a new way for Australians to experience sport,” said Thomas Kaurin, Director of Technology at Kayo Sports. “With more than 30,000 hours of content and game-changing features, it’s critical we deliver the best possible experience to sports-loving Aussies. Our platform stitches together profiles across datasets and integrates with different vendors, enriching data to provide a better customer experience across all channels and customer touchpoints. AWS helps Kayo do this through its fast pace of innovation, with constantly evolving tools that help us deliver a world-class experience.”",0.0,1.0,88,1.0,,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,,"Intuitively, scene-based encoding makes  a lot of sense. Customizing encoding parameters for an individual scene should be more efficient than trying to find the optimal encoding configuration for a segment containing two or more scenes that could comprise wildly different content. In addition, changing encoding parameters at a scene change would obviously be less noticeable than changing parameters within a scene. Ultimately, Netflix’s computed efficiency numbers speak for themselves; as measured by VMAF, dynamic optimization enabled Netflix to reduce the bitrate of x264, VP9 (libvpx), and x265 by 28.04%, 37.61%, and 33.51%, respectively, while retaining the same quality.",0.0,0.0,99,0.0,,0.0,0.0,0.0,0.0,1.0,0.0
0.0,1.0,0.0,,"Technologies that perform facial recognition and speech-to-text indexing have been around for at least 2 decades—in fact, a research project in Europe that I was part of around 2004 posited the very scenario mentioned above—but  the tools were complex and didn’t easily tie into EVP solutions. Still, even those tools were capable of up to 32,000 pieces of metadata per frame. Today’s solutions offer more accurate facial recognition and slightly better speech-to-text transcription, the latter in part derivative of what we’d done on both our research project and other projects that focused on virtual beam-forming microphones for use in corporate environments. Yet the true power of these solutions isn’t in the discrete tools but rather the holistic approach to searching indexed content.",0.0,0.0,123,1.0,,0.0,0.0,0.0,0.0,1.0,0.0
